K,n,max_support,avg_row_support,s_eff,rate,rep,predictor,loss
100,500,2,1.44,52.05862499999999,0.9912178238741882,39,adaptive,0.05076711705365307
100,500,2,1.44,52.05862499999999,0.9912178238741882,39,cesaro,0.3910331665479682
100,500,2,1.44,52.05862499999999,0.9912178238741882,39,support-oracle,-0.0
100,500,2,1.44,52.05862499999999,0.9912178238741882,40,MLE,0.00414940150535037
100,500,2,1.44,52.05862499999999,0.9912178238741882,40,add-one,2.1475482116107045
100,500,2,1.44,52.05862499999999,0.9912178238741882,40,add-half,1.6294515490433579
100,500,2,1.44,52.05862499999999,0.9912178238741882,40,adaptive,0.16754358038940775
100,500,2,1.44,52.05862499999999,0.9912178238741882,40,cesaro,0.40334157527209735
100,500,2,1.44,52.05862499999999,0.9912178238741882,40,support-oracle,0.0034843346580467616
100,500,2,1.44,52.05862499999999,0.9912178238741882,41,MLE,9.900302800282451e-11
100,500,2,1.44,52.05862499999999,0.9912178238741882,41,add-one,1.9203768470501485
100,500,2,1.44,52.05862499999999,0.9912178238741882,41,add-half,1.3862943611198906
100,500,2,1.44,52.05862499999999,0.9912178238741882,41,adaptive,0.059999817047592635
100,500,2,1.44,52.05862499999999,0.9912178238741882,41,cesaro,0.17580892097964704
100,500,2,1.44,52.05862499999999,0.9912178238741882,41,support-oracle,-0.0
100,500,2,1.44,52.05862499999999,0.9912178238741882,42,MLE,0.17120348616851644
100,500,2,1.44,52.05862499999999,0.9912178238741882,42,add-one,2.1421458211932647
100,500,2,1.44,52.05862499999999,0.9912178238741882,42,add-half,1.6479184330021646
100,500,2,1.44,52.05862499999999,0.9912178238741882,42,adaptive,0.3099830570205163
100,500,2,1.44,52.05862499999999,0.9912178238741882,42,cesaro,0.5418548527398027
100,500,2,1.44,52.05862499999999,0.9912178238741882,42,support-oracle,0.1438410362258905
100,500,2,1.44,52.05862499999999,0.9912178238741882,43,MLE,0.004149401505347705
100,500,2,1.44,52.05862499999999,0.9912178238741882,43,add-one,2.1475482116107045
100,500,2,1.44,52.05862499999999,0.9912178238741882,43,add-half,1.6294515490433579
100,500,2,1.44,52.05862499999999,0.9912178238741882,43,adaptive,0.16754358038940775
100,500,2,1.44,52.05862499999999,0.9912178238741882,43,cesaro,0.4639759376966358
100,500,2,1.44,52.05862499999999,0.9912178238741882,43,support-oracle,0.0034843346580467616
100,500,2,1.44,52.05862499999999,0.9912178238741882,44,MLE,9.900613662729377e-11
100,500,2,1.44,52.05862499999999,0.9912178238741882,44,add-one,1.5702171992808192
100,500,2,1.44,52.05862499999999,0.9912178238741882,44,add-half,1.0788096613719298
100,500,2,1.44,52.05862499999999,0.9912178238741882,44,adaptive,0.03882079313195429
100,500,2,1.44,52.05862499999999,0.9912178238741882,44,cesaro,0.1635312563911887
100,500,2,1.44,52.05862499999999,0.9912178238741882,44,support-oracle,-0.0
100,500,2,1.44,52.05862499999999,0.9912178238741882,45,MLE,9.900125164598493e-11
100,500,2,1.44,52.05862499999999,0.9912178238741882,45,add-one,1.5702171992808192
100,500,2,1.44,52.05862499999999,0.9912178238741882,45,add-half,1.0788096613719298
100,500,2,1.44,52.05862499999999,0.9912178238741882,45,adaptive,0.03882079313195429
100,500,2,1.44,52.05862499999999,0.9912178238741882,45,cesaro,0.15933526415443353
100,500,2,1.44,52.05862499999999,0.9912178238741882,45,support-oracle,-0.0
100,500,2,1.44,52.05862499999999,0.9912178238741882,46,MLE,0.007252343199448341
100,500,2,1.44,52.05862499999999,0.9912178238741882,46,add-one,1.0660930905784984
100,500,2,1.44,52.05862499999999,0.9912178238741882,46,add-half,0.6803133071856565
100,500,2,1.44,52.05862499999999,0.9912178238741882,46,adaptive,0.04566170191978458
100,500,2,1.44,52.05862499999999,0.9912178238741882,46,cesaro,0.16029920212543447
100,500,2,1.44,52.05862499999999,0.9912178238741882,46,support-oracle,0.006968753921890891
100,500,2,1.44,52.05862499999999,0.9912178238741882,47,MLE,9.900613662729377e-11
100,500,2,1.44,52.05862499999999,0.9912178238741882,47,add-one,1.4335472459704361
100,500,2,1.44,52.05862499999999,0.9912178238741882,47,add-half,0.9642999510605157
100,500,2,1.44,52.05862499999999,0.9912178238741882,47,adaptive,0.03245654503287043
100,500,2,1.44,52.05862499999999,0.9912178238741882,47,cesaro,0.14385705524164494
100,500,2,1.44,52.05862499999999,0.9912178238741882,47,support-oracle,-0.0
100,500,2,1.44,52.05862499999999,0.9912178238741882,48,MLE,13.122363377503335
100,500,2,1.44,52.05862499999999,0.9912178238741882,48,add-one,3.3825194883902707
100,500,2,1.44,52.05862499999999,0.9912178238741882,48,add-half,3.1465247623643773
100,500,2,1.44,52.05862499999999,0.9912178238741882,48,adaptive,2.3589828400667177
100,500,2,1.44,52.05862499999999,0.9912178238741882,48,cesaro,2.311795492624276
100,500,2,1.44,52.05862499999999,0.9912178238741882,48,support-oracle,0.29389333245105953
100,500,2,1.44,52.05862499999999,0.9912178238741882,49,MLE,9.900813502873829e-11
100,500,2,1.44,52.05862499999999,0.9912178238741882,49,add-one,1.9203768470501485
100,500,2,1.44,52.05862499999999,0.9912178238741882,49,add-half,1.3862943611198906
100,500,2,1.44,52.05862499999999,0.9912178238741882,49,adaptive,0.059999817047592635
100,500,2,1.44,52.05862499999999,0.9912178238741882,49,cesaro,0.2197535028798424
100,500,2,1.44,52.05862499999999,0.9912178238741882,49,support-oracle,-0.0
100,500,2,1.44,52.05862499999999,0.9912178238741882,50,MLE,0.01680830549750001
100,500,2,1.44,52.05862499999999,0.9912178238741882,50,add-one,1.1565281964306706
100,500,2,1.44,52.05862499999999,0.9912178238741882,50,add-half,0.7526898691718308
100,500,2,1.44,52.05862499999999,0.9912178238741882,50,adaptive,0.06032035329687424
100,500,2,1.44,52.05862499999999,0.9912178238741882,50,cesaro,0.17278985678960967
100,500,2,1.44,52.05862499999999,0.9912178238741882,50,support-oracle,0.01605757667214658
100,500,2,1.44,52.05862499999999,0.9912178238741882,51,MLE,9.900458231505914e-11
100,500,2,1.44,52.05862499999999,0.9912178238741882,51,add-one,3.5263605246161616
100,500,2,1.44,52.05862499999999,0.9912178238741882,51,add-half,3.0349529867072724
100,500,2,1.44,52.05862499999999,0.9912178238741882,51,adaptive,0.4004775665971254
100,500,2,1.44,52.05862499999999,0.9912178238741882,51,cesaro,0.8330761368811632
100,500,2,1.44,52.05862499999999,0.9912178238741882,51,support-oracle,-0.0
100,500,2,1.44,52.05862499999999,0.9912178238741882,52,MLE,0.001386963539363184
100,500,2,1.44,52.05862499999999,0.9912178238741882,52,add-one,1.735736129655376
100,500,2,1.44,52.05862499999999,0.9912178238741882,52,add-half,1.2396257961523274
100,500,2,1.44,52.05862499999999,0.9912178238741882,52,adaptive,0.0993615422978521
100,500,2,1.44,52.05862499999999,0.9912178238741882,52,cesaro,0.24820669038189858
100,500,2,1.44,52.05862499999999,0.9912178238741882,52,support-oracle,0.0012515651090593272
100,500,2,1.44,52.05862499999999,0.9912178238741882,53,MLE,9.900613662729377e-11
100,500,2,1.44,52.05862499999999,0.9912178238741882,53,add-one,1.1946269419076982
100,500,2,1.44,52.05862499999999,0.9912178238741882,53,add-half,0.7722845011186692
100,500,2,1.44,52.05862499999999,0.9912178238741882,53,adaptive,0.02329243051227172
100,500,2,1.44,52.05862499999999,0.9912178238741882,53,cesaro,0.10257042470368918
100,500,2,1.44,52.05862499999999,0.9912178238741882,53,support-oracle,-0.0
100,500,2,1.44,52.05862499999999,0.9912178238741882,54,MLE,9.900613662729377e-11
