K,n,max_support,avg_row_support,s_eff,rate,predictor,mean_loss,se_loss,median_loss,mean_ratio_to_rate,reps
200,500,10,5.585,448.3629203512038,5.918423586204514,adaptive,2.441939029572909,0.10836550721216916,2.52302869823799,0.4125995704776726,100
200,500,10,5.585,448.3629203512038,5.918423586204514,add-half,3.1038894394679812,0.06104006452202647,2.9340155080032906,0.5244453010600592,100
200,500,10,5.585,448.3629203512038,5.918423586204514,add-one,3.271038362100016,0.0591517465710496,3.083323193521963,0.55268743685812,100
200,500,10,5.585,448.3629203512038,5.918423586204514,cesaro,2.5292425691177867,0.09238240711055369,2.611076317048843,0.42735071802114627,100
200,500,10,5.585,448.3629203512038,5.918423586204514,support-oracle,0.13438338988354742,0.009991141655711189,0.13748506993418041,0.022705943217174746,100
200,500,20,10.06,459.7791162972965,6.022876945094221,MLE,12.473755135100538,0.8508730595050761,14.95800243837655,2.0710625916507746,100
200,500,20,10.06,459.7791162972965,6.022876945094221,adaptive,2.132838050548328,0.10265961996976329,2.3401288763076167,0.35412280044764594,100
200,500,20,10.06,459.7791162972965,6.022876945094221,add-half,2.85354741727315,0.06092825378139233,2.7553954100025657,0.4737847781528118,100
200,500,20,10.06,459.7791162972965,6.022876945094221,add-one,3.032277039351011,0.0678656491711205,2.9355355138579142,0.5034599024675199,100
200,500,20,10.06,459.7791162972965,6.022876945094221,cesaro,2.2971573327207007,0.0759386587922794,2.363805113658703,0.3814053240107771,100
200,500,20,10.06,459.7791162972965,6.022876945094221,support-oracle,0.11337888597944927,0.010776136848796143,0.114889667941797,0.01882470570344279,100
200,500,40,19.865,489.6289068043296,6.290700577214882,MLE,17.23330004827563,0.7221992301582354,20.495378980507752,2.739488207513038,100
200,500,40,19.865,489.6289068043296,6.290700577214882,adaptive,2.2757128429953757,0.0638811630270279,2.290439026422912,0.3617582517340088,100
200,500,40,19.865,489.6289068043296,6.290700577214882,add-half,2.3777510615675173,0.06436230788518511,2.2065011745345364,0.3779787374048301,100
200,500,40,19.865,489.6289068043296,6.290700577214882,add-one,2.464500449889119,0.07180656210888571,2.2565588185162992,0.3917688371332786,100
